,Gallery Number,Title,Department,Culture,Artist Display Name,Artist Begin Date,Artist End Date,Medium,data
11813,770,Arques-la-Bataille,The American Wing,American,John Henry Twachtman,1853      ,1902      ,Oil on canvas,The American Wing American John Henry Twachtman 1853       1902       Oil on canvas
11990,735,Panoramic View of the Palace and Gardens of Versailles,The American Wing,American,John Vanderlyn,1775      ,1852      ,Oil on canvas,The American Wing American John Vanderlyn 1775       1852       Oil on canvas
12003,766,Lair of the Sea Serpent,The American Wing,American,Elihu Vedder,1836      ,1923      ,Oil on canvas,The American Wing American Elihu Vedder 1836       1923       Oil on canvas
12008,774,The Pleiades,The American Wing,American,Elihu Vedder,1836      ,1923      ,Oil on canvas,The American Wing American Elihu Vedder 1836       1923       Oil on canvas
12021,768,A Young Mother,The American Wing,American,Bessie Potter Vonnoh,1872      ,1955      ,Bronze,The American Wing American Bessie Potter Vonnoh 1872       1955       Bronze
12053,763,Interior View of the Metropolitan Museum of Art when in Fourteenth Street,The American Wing,American,Frank Waller,1842      ,1923      ,Oil on canvas,The American Wing American Frank Waller 1842       1923       Oil on canvas
12057,521,The Freedman,The American Wing,American,John Quincy Adams Ward,1830      ,1910      ,Bronze,The American Wing American John Quincy Adams Ward 1830       1910       Bronze
12060,761,The Indian Hunter,The American Wing,American,John Quincy Adams Ward,1830      ,1910      ,Bronze,The American Wing American John Quincy Adams Ward 1830       1910       Bronze
12092,766,The Rajah Starting on a Hunt,The American Wing,American,Edwin Lord Weeks,1849      ,1903      ,Oil on canvas.,The American Wing American Edwin Lord Weeks 1849       1903       Oil on canvas.
12105,770,The Red Bridge,The American Wing,American,Julian Alden Weir,1852      ,1919      ,Oil on canvas,The American Wing American Julian Alden Weir 1852       1919       Oil on canvas
12128,771,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,The American Wing,American,James McNeill Whistler,1834      ,1903      ,Oil on canvas,The American Wing American James McNeill Whistler 1834       1903       Oil on canvas
12138,766,"Cremorne Gardens, No. 2",The American Wing,American,James McNeill Whistler,1834      ,1903      ,Oil on canvas,The American Wing American James McNeill Whistler 1834       1903       Oil on canvas
12212,761,The Trout Pool,The American Wing,American,Worthington Whittredge,1820      ,1910      ,Oil on canvas,The American Wing American Worthington Whittredge 1820       1910       Oil on canvas
12237,762,A Bit of War History: The Veteran,The American Wing,American,Thomas Waterman Wood,1823      ,1903      ,Oil on canvas,The American Wing American Thomas Waterman Wood 1823       1903       Oil on canvas
12238,762,A Bit of War History: The Contraband,The American Wing,American,Thomas Waterman Wood,1823      ,1903      ,Oil on canvas,The American Wing American Thomas Waterman Wood 1823       1903       Oil on canvas
12239,762,A Bit of War History: The Recruit,The American Wing,American,Thomas Waterman Wood,1823      ,1903      ,Oil on canvas,The American Wing American Thomas Waterman Wood 1823       1903       Oil on canvas
12321,774,Armchair,The American Wing,American,A. H. Davenport|Francis H. Bacon,1800      |1856      ,1908      |1940      ,"Mahogany, tooled and painted leather","The American Wing American A. H. Davenport|Francis H. Bacon 1800      |1856       1908      |1940       Mahogany, tooled and painted leather"
12593,774,Lilacs in a Window (Vase de Lilas a la Fenetre),The American Wing,American,Mary Cassatt,1844      ,1926      ,Oil on canvas,The American Wing American Mary Cassatt 1844       1926       Oil on canvas
13041,704,Candlestick,The American Wing,American,Adrian Bancker,1703      ,1772      ,Silver,The American Wing American Adrian Bancker 1703       1772       Silver
13042,704,Candlestick,The American Wing,American,Adrian Bancker,1703      ,1772      ,Silver,The American Wing American Adrian Bancker 1703       1772       Silver
13112,743,Library Table,The American Wing,American,William Lightfoot Price|Rose Valley Shops,1861      |1901      ,1916      |1906      ,"White oak, stained","The American Wing American William Lightfoot Price|Rose Valley Shops 1861      |1901       1916      |1906       White oak, stained"
13158,743,Linen Press,The American Wing,American,Byrdcliffe Arts and Crafts Colony,1902      ,1915      ,"Oak, tulip poplar, brass","The American Wing American Byrdcliffe Arts and Crafts Colony 1902       1915       Oak, tulip poplar, brass"
13201,743,Screen,The American Wing,American,Lockwood de Forest|Ahmedabad Wood Carving Company,1850      |          ,1932      |          ,"Teak, plaited matting, mixed metals","The American Wing American Lockwood de Forest|Ahmedabad Wood Carving Company 1850      |           1932      |           Teak, plaited matting, mixed metals"
13288,763,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room,The American Wing,American,Seymour Joseph Guy,1824      ,1910      ,Oil on canvas,The American Wing American Seymour Joseph Guy 1824       1910       Oil on canvas
13304,774,Settee,The American Wing,American,George Jakob Hunzinger,1835      ,1898      ,"Ebonized cherry, fabric-covered steel mesh","The American Wing American George Jakob Hunzinger 1835       1898       Ebonized cherry, fabric-covered steel mesh"
13310,705,Pitcher,The American Wing,American,American Pottery Manufacturing Company,1833      ,1833      ,Earthenware,The American Wing American American Pottery Manufacturing Company 1833       1833       Earthenware
13742,769,"Celia Thaxter's Garden, Isles of Shoals, Maine",The American Wing,American,Childe Hassam,1859      ,1935      ,Oil on canvas,The American Wing American Childe Hassam 1859       1935       Oil on canvas
13743,768,A Rose,The American Wing,American,Thomas Anshutz,1851      ,1912      ,Oil on canvas,The American Wing American Thomas Anshutz 1851       1912       Oil on canvas
13783,704,Decanter,The American Wing,American,"Bakewell, Page & Bakewell",1808      ,1882      ,Blown and cut glass; clay cameo,"The American Wing American Bakewell, Page & Bakewell 1808       1882       Blown and cut glass; clay cameo"
13796,713,Side Chair,The American Wing,American,Alexander Jackson Davis|Burns and Brother,1803      |          ,1892      |          ,Black walnut; replacement underupholstery and showcover,The American Wing American Alexander Jackson Davis|Burns and Brother 1803      |           1892      |           Black walnut; replacement underupholstery and showcover
14192,728,Card table,The American Wing,American,Charles-Honoré Lannuier,1779      ,1819      ,"Mahogany veneer, white pine, yellow poplar, gilded gesso, vert antique, and gilded brass","The American Wing American Charles-Honoré Lannuier 1779       1819       Mahogany veneer, white pine, yellow poplar, gilded gesso, vert antique, and gilded brass"
14196,980,"Quilt, Tumbling Blocks with Signatures pattern",The American Wing,American,Adeline Harris Sears,1839      ,1931      ,Silk,The American Wing American Adeline Harris Sears 1839       1931       Silk
14871,771,Mrs. Hugh Hammersley,The American Wing,American,John Singer Sargent,1856      ,1925      ,Oil on canvas,The American Wing American John Singer Sargent 1856       1925       Oil on canvas
15191,755,George Washington,The American Wing,American,Gilbert Stuart,1755      ,1828      ,Oil on canvas,The American Wing American Gilbert Stuart 1755       1828       Oil on canvas
15276,706,Cameo,The American Wing,American,George W. Jamison|William Rose,1810      |1839      ,1868      |1850      ,"Helmet-conch shell, gold, and enamel","The American Wing American George W. Jamison|William Rose 1810      |1839       1868      |1850       Helmet-conch shell, gold, and enamel"
15284,756,Michael Angelo and Emma Clara Peale,The American Wing,American,Rembrandt Peale,1778      ,1860      ,Oil on canvas,The American Wing American Rembrandt Peale 1778       1860       Oil on canvas
15351,743,Four Seasons,The American Wing,American,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Agnes F. Northrop,1848      |1892      |1857      ,1933      |1902      |1953      ,"Watercolor, gouache, graphite, and red earth chalk pencil on on white wove paper formerly overmatted with original warm grey window matt","The American Wing American Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Agnes F. Northrop 1848      |1892      |1857       1933      |1902      |1953       Watercolor, gouache, graphite, and red earth chalk pencil on on white wove paper formerly overmatted with original warm grey window matt"
15394,706,Brooch,The American Wing,American,Tiffany & Co.,1837      ,9999      ,"Gold, pearls, black enamel, and hair","The American Wing American Tiffany & Co. 1837       9999       Gold, pearls, black enamel, and hair"
15489,766,Flight Into Egypt,The American Wing,American,Henry Ossawa Tanner,1859      ,1937      ,Oil on canvas,The American Wing American Henry Ossawa Tanner 1859       1937       Oil on canvas
15493,750,Wine cup,The American Wing,American,John Hull|Robert Sanderson Sr.,1624      |1605      ,1683      |1693      ,Silver,The American Wing American John Hull|Robert Sanderson Sr. 1624      |1605       1683      |1693       Silver
15612,748,Eagle,The American Wing,American,William Rush,1756      ,1833      ,"Carved wood (probably Eastern white pine), gessoed and gilded, and cast iron, painted","The American Wing American William Rush 1756       1833       Carved wood (probably Eastern white pine), gessoed and gilded, and cast iron, painted"
16090,759,Landscape with Cows Watering in a Stream,The American Wing,American,Robert S. Duncanson,1821      ,1872      ,Oil on canvas,The American Wing American Robert S. Duncanson 1821       1872       Oil on canvas
16109,751,Lake George and the Village of Caldwell,The American Wing,American,Thomas Chambers,1808      ,1867      ,Oil on canvas,The American Wing American Thomas Chambers 1808       1867       Oil on canvas
16221,744,Box,The American Wing,American,Marie Zimmermann,1879      ,1972      ,"Wood, ivory, patinated silver, nickel-plated brass, steel, amethyst, and semi-precious quartz","The American Wing American Marie Zimmermann 1879       1972       Wood, ivory, patinated silver, nickel-plated brass, steel, amethyst, and semi-precious quartz"
16227,706,Vase,The American Wing,American,Ott and Brewer,1871      ,1893      ,Porcelain,The American Wing American Ott and Brewer 1871       1893       Porcelain
16270,700,Reaching Jaguar,The American Wing,American,Anna Hyatt Huntington,1876      ,1973      ,Bronze,The American Wing American Anna Hyatt Huntington 1876       1973       Bronze
16325,772,"Central Park, Winter",The American Wing,American,William James Glackens,1870      ,1938      ,Oil on canvas,The American Wing American William James Glackens 1870       1938       Oil on canvas
16366,772,Dutch Girl in White,The American Wing,American,Robert Henri,1865      ,1929      ,Oil on canvas,The American Wing American Robert Henri 1865       1929       Oil on canvas
16407,751,"The Monongahela River Valley, Pennsylvania",The American Wing,American,John Kane,1860      ,1934      ,Oil on canvas,The American Wing American John Kane 1860       1934       Oil on canvas
16442,706,Necklace,The American Wing,American,Frank Gardner Hale,1876      ,1945      ,"18kt yellow gold, silver, peridots, amethysts, tourmalines, sapphires, and pearls.","The American Wing American Frank Gardner Hale 1876       1945       18kt yellow gold, silver, peridots, amethysts, tourmalines, sapphires, and pearls."
16481,726,Pier Table,The American Wing,American,Charles-Honoré Lannuier,1779      ,1819      ,"Mahogany, mahogany veneer, pine, tulip poplar, maple, marble, gilded brass, die-stamped brass, plate glass","The American Wing American Charles-Honoré Lannuier 1779       1819       Mahogany, mahogany veneer, pine, tulip poplar, maple, marble, gilded brass, die-stamped brass, plate glass"
16625,707,Vase,The American Wing,American,Maija Grotell,1899      ,1973      ,Stoneware,The American Wing American Maija Grotell 1899       1973       Stoneware
16772,763,Story of Golden Locks,The American Wing,American,Seymour Joseph Guy,1824      ,1910      ,Oil on canvas,The American Wing American Seymour Joseph Guy 1824       1910       Oil on canvas
16778,707,Teapot,The American Wing,American,George E. Ohr,1857      ,1918      ,Earthenware,The American Wing American George E. Ohr 1857       1918       Earthenware
16968,765,End of the Trail,The American Wing,American,James Earle Fraser,1876      ,1953      ,Bronze,The American Wing American James Earle Fraser 1876       1953       Bronze
16993,742,Side chair,The American Wing,American,George A. Schastey & Co.|George A. Schastey,1873      |1839      ,1897      |1894      ,"Satinwood, purpleheart, brass castors, reproduction upholstery","The American Wing American George A. Schastey & Co.|George A. Schastey 1873      |1839       1897      |1894       Satinwood, purpleheart, brass castors, reproduction upholstery"
17012,747,Portrait of William Duguid,The American Wing,American,Prince Demah Barnes,          ,          ,Oil on canvas,The American Wing American Prince Demah Barnes                       Oil on canvas
17087,706,Brooch,The American Wing,American,Marie Zimmermann,1879      ,1972      ,"Gold, black opal, shattuckite, green tourmalines, emeralds, sapphires, rubies, and enamel","The American Wing American Marie Zimmermann 1879       1972       Gold, black opal, shattuckite, green tourmalines, emeralds, sapphires, rubies, and enamel"
17137,751,The Thomas Hunt and the America,The American Wing,American,James Bard,          ,          ,Oil on canvas,The American Wing American James Bard                       Oil on canvas
17147,706,Vase,The American Wing,American,Tiffany & Co.,1837      ,9999      ,"Silver, silver-gilt, freshwater baroque pearls, amazonite, opals.","The American Wing American Tiffany & Co. 1837       9999       Silver, silver-gilt, freshwater baroque pearls, amazonite, opals."
17148,758,Preparing for Christmas (Plucking Turkeys),The American Wing,American,Francis William Edmonds,1806      ,1863      ,Oil on canvas,The American Wing American Francis William Edmonds 1806       1863       Oil on canvas
17154,706,Vase,The American Wing,American,Herbert Taylor|Arthur J. Stone,1892      |1847      ,1942      |1938      ,silver and gold,The American Wing American Herbert Taylor|Arthur J. Stone 1892      |1847       1942      |1938       silver and gold
17155,706,Vase,The American Wing,American,Herbert Taylor|Arthur J. Stone,1892      |1847      ,1942      |1938      ,silver and gold,The American Wing American Herbert Taylor|Arthur J. Stone 1892      |1847       1942      |1938       silver and gold
17159,758,Young Husband: First Marketing,The American Wing,American,Lilly Martin Spencer,1822      ,1902      ,Oil on canvas,The American Wing American Lilly Martin Spencer 1822       1902       Oil on canvas
17162,762,Abraham Lincoln: The Man (Standing Lincoln),The American Wing,American,Augustus Saint-Gaudens,1848      ,1907      ,Bronze,The American Wing American Augustus Saint-Gaudens 1848       1907       Bronze
17164,706,Necklace,The American Wing,American,Dreicer & Co.,1868      ,1927      ,"Diamonds, natural pearls, and platinum","The American Wing American Dreicer & Co. 1868       1927       Diamonds, natural pearls, and platinum"
17171,743,Box,The American Wing,American,Lucia Kleinhans Mathews|The Furniture Shop,1870      |1906      ,1870      |1906      ,Painted wood,The American Wing American Lucia Kleinhans Mathews|The Furniture Shop 1870      |1906       1870      |1906       Painted wood
17175,726,Vase,The American Wing,American,Tucker Factory,1826      ,1838      ,"Porcelain, brass","The American Wing American Tucker Factory 1826       1838       Porcelain, brass"
17200,706,Pitcher,The American Wing,American,Gorham Manufacturing Company,1831      ,9999      ,Silver,The American Wing American Gorham Manufacturing Company 1831       9999       Silver
30466,210,清   龔賢   自題 山水十六開   冊|Landscapes with poems,Asian Art,China,Gong Xian,1619      ,1689      ,Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves,Asian Art China Gong Xian 1619       1689       Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves
100335,507,Bedroom from the Sagredo Palace,European Sculpture and Decorative Arts,"Italian, Venice",Carpoforo Mazzetti Tencalla|Abbondio Stazio,1685      |1675      ,1743      |1757      ,"Wood, stucco, marble, glass","European Sculpture and Decorative Arts Italian, Venice Carpoforo Mazzetti Tencalla|Abbondio Stazio 1685      |1675       1743      |1757       Wood, stucco, marble, glass"
102384,505,Stove,European Sculpture and Decorative Arts,"Swiss, Winterthur",Tobias Stimmer|Christoph Murer|David II Pfau|Hans Heinrich III Pfau,1539      |1558      |1644      |1672      ,1584      |1614      |1702      |1714      ,Faience (tin-glazed earthenware),"European Sculpture and Decorative Arts Swiss, Winterthur Tobias Stimmer|Christoph Murer|David II Pfau|Hans Heinrich III Pfau 1539      |1558      |1644      |1672       1584      |1614      |1702      |1714       Faience (tin-glazed earthenware)"
102880,800,Adam,European Sculpture and Decorative Arts,"French, Paris",Auguste Rodin,1840      ,1917      ,Bronze,"European Sculpture and Decorative Arts French, Paris Auguste Rodin 1840       1917       Bronze"
102916,800,Honoré de Balzac,European Sculpture and Decorative Arts,French,Auguste Rodin,1840      ,1917      ,Terracotta,European Sculpture and Decorative Arts French Auguste Rodin 1840       1917       Terracotta
103733,604,Madonna and Child with Angels,European Sculpture and Decorative Arts,"Italian, Florence",Antonio Rossellino,1427      ,1479      ,Marble with gilt details on halo and dress,"European Sculpture and Decorative Arts Italian, Florence Antonio Rossellino 1427       1479       Marble with gilt details on halo and dress"
103744,552,The Intoxication of Wine,European Sculpture and Decorative Arts,"French, Paris",Clodion (Claude Michel),1738      ,1814      ,Terracotta,"European Sculpture and Decorative Arts French, Paris Clodion (Claude Michel) 1738       1814       Terracotta"
104209,502,The Deluge,European Sculpture and Decorative Arts,"French, Lorraine, Metz",Valentin Bousch,1514      ,1541      ,"Glass, painted and stained","European Sculpture and Decorative Arts French, Lorraine, Metz Valentin Bousch 1514       1541       Glass, painted and stained"
105279,503,Ewer (Brocca),European Sculpture and Decorative Arts,"Italian, Florence",Medici Porcelain Manufactory,1570      ,1592      ,Soft-paste porcelain decorated in underglaze blue,"European Sculpture and Decorative Arts Italian, Florence Medici Porcelain Manufactory 1570       1592       Soft-paste porcelain decorated in underglaze blue"
105449,524,Drop-front secretary (Secrétaire en armoire),European Sculpture and Decorative Arts,"French, Paris",Jean Henri Riesener,1734      ,1806      ,"Oak veneered with ebony and 17th-century Japanese lacquer; interiors veneered with tulipwood, amaranth, holly, and ebonized holly; gilt-bronze mounts; marble top; velvet (not original)","European Sculpture and Decorative Arts French, Paris Jean Henri Riesener 1734       1806       Oak veneered with ebony and 17th-century Japanese lacquer; interiors veneered with tulipwood, amaranth, holly, and ebonized holly; gilt-bronze mounts; marble top; velvet (not original)"
105962,509,Display dish with Charles II (1630–1685) in a tree,European Sculpture and Decorative Arts,"British, Staffordshire",Thomas Toft,1589      ,1689      ,Slip-decorated earthenware,"European Sculpture and Decorative Arts British, Staffordshire Thomas Toft 1589       1689       Slip-decorated earthenware"
106174,516,The Backgammon Players,European Sculpture and Decorative Arts,British,"Philip Webb|Sir Edward Burne-Jones|Morris, Marshall, Faulkner & Co.",1831      |1833      |1861      ,1915      |1898      |1875      ,"Painted pine, oil paint on leather, brass, copper","European Sculpture and Decorative Arts British Philip Webb|Sir Edward Burne-Jones|Morris, Marshall, Faulkner & Co. 1831      |1833      |1861       1915      |1898      |1875       Painted pine, oil paint on leather, brass, copper"
106189,553,Coin cabinet,European Sculpture and Decorative Arts,"French, Paris",Martin-Guillaume Biennais|Charles Percier|François-Honoré-Georges Jacob-Desmalter|baron Dominique Vivant Denon,1764      |1764      |1770      |1747      ,1843      |1838      |1841      |1825      ,"Mahogany (probably Swietenia mahagoni), applied and inlaid silver","European Sculpture and Decorative Arts French, Paris Martin-Guillaume Biennais|Charles Percier|François-Honoré-Georges Jacob-Desmalter|baron Dominique Vivant Denon 1764      |1764      |1770      |1747       1843      |1838      |1841      |1825       Mahogany (probably Swietenia mahagoni), applied and inlaid silver"
107104,815,The Little Fourteen-Year-Old Dancer,European Sculpture and Decorative Arts,"French, Paris",Edgar Degas|A. A. Hébrard,1834      |          ,1917      |          ,"Partially tinted bronze, cotton tarlatan, silk satin, and wood","European Sculpture and Decorative Arts French, Paris Edgar Degas|A. A. Hébrard 1834      |           1917      |           Partially tinted bronze, cotton tarlatan, silk satin, and wood"
107553,515,Dining room from Lansdowne House,European Sculpture and Decorative Arts,British,Joseph Rose|John Gilbert|John Devall & Co.|Robert Adam,1745      |1700      |          |1728      ,1799      |1800      |          |1792      ,"Wood, plaster, stone","European Sculpture and Decorative Arts British Joseph Rose|John Gilbert|John Devall & Co.|Robert Adam 1745      |1700      |          |1728       1799      |1800      |          |1792       Wood, plaster, stone"
109065,501,Studiolo from the Ducal Palace in Gubbio,European Sculpture and Decorative Arts,"Italian, Gubbio",Giuliano da Maiano|Francesco di Giorgio Martini|Francesco di Giorgio Martini|Benedetto da Maiano,1432      |1439      |1439      |1442      ,1490      |1501      |1501      |1497      ,"Walnut, beech, rosewood, oak and fruitwoods in walnut base","European Sculpture and Decorative Arts Italian, Gubbio Giuliano da Maiano|Francesco di Giorgio Martini|Francesco di Giorgio Martini|Benedetto da Maiano 1432      |1439      |1439      |1442       1490      |1501      |1501      |1497       Walnut, beech, rosewood, oak and fruitwoods in walnut base"
109215,553,Rolltop desk,European Sculpture and Decorative Arts,"German, Neuwied am Rhein",David Roentgen|Januarius Zick|Thomas Chippendale,1743      |1730      |1718      ,1807      |1797      |1779      ,"Oak, cherry, pine, mahogany, veneered with maple, burl woods, holly, hornbeam (all partially stained), tulipwood, mahogany, and other woods; mother-of-pearl; partially gilded and tooled leather; gilt bronze, iron, steel, brass, partially gold-lacquered brass","European Sculpture and Decorative Arts German, Neuwied am Rhein David Roentgen|Januarius Zick|Thomas Chippendale 1743      |1730      |1718       1807      |1797      |1779       Oak, cherry, pine, mahogany, veneered with maple, burl woods, holly, hornbeam (all partially stained), tulipwood, mahogany, and other woods; mother-of-pearl; partially gilded and tooled leather; gilt bronze, iron, steel, brass, partially gold-lacquered brass"
109870,552,Model for a Proposed Monument to Commemorate the Invention of the Balloon,European Sculpture and Decorative Arts,"French, Paris",Clodion (Claude Michel),1738      ,1814      ,Terracotta,"European Sculpture and Decorative Arts French, Paris Clodion (Claude Michel) 1738       1814       Terracotta"
110109,535,The Holy Family with Saints Anne and Joachim,European Sculpture and Decorative Arts,"Spanish, Granada",Diego de Pesquera,1535      ,1582      ,"Wood, painted and gilt","European Sculpture and Decorative Arts Spanish, Granada Diego de Pesquera 1535       1582       Wood, painted and gilt"
110138,531,Seasons and Elements (Air) (set of four),European Sculpture and Decorative Arts,"French, Paris","Charles Le Brun|Jean Lemoyen le Lorrain|Convent of Saint Joseph-de-la-Providence, Paris|Marquise de Montespan",1619      |1637      |          |1641      ,1690      |1709      |          |1707      ,"Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 stitches per sq. cm.)","European Sculpture and Decorative Arts French, Paris Charles Le Brun|Jean Lemoyen le Lorrain|Convent of Saint Joseph-de-la-Providence, Paris|Marquise de Montespan 1619      |1637      |          |1641       1690      |1709      |          |1707       Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 stitches per sq. cm.)"
111074,552,Sabine Houdon (1787–1836),European Sculpture and Decorative Arts,"French, Paris",Jean Antoine Houdon,1741      ,1828      ,White marble on gray marble socle,"European Sculpture and Decorative Arts French, Paris Jean Antoine Houdon 1741       1828       White marble on gray marble socle"
112021,544,Platter,European Sculpture and Decorative Arts,"French, Paris",Bernard Palissy,1510      ,1590      ,Lead-glazed earthenware,"European Sculpture and Decorative Arts French, Paris Bernard Palissy 1510       1590       Lead-glazed earthenware"
112270,614,"Madame de Wailly, née Adélaïde-Flore Belleville (1765–1838)",European Sculpture and Decorative Arts,"French, Paris",Augustin Pajou,1730      ,1809      ,Bust: marble; base: grey marble,"European Sculpture and Decorative Arts French, Paris Augustin Pajou 1730       1809       Bust: marble; base: grey marble"
112478,503,The Farnese Table,European Sculpture and Decorative Arts,"Italian, Rome",Jacopo [Giacomo] Barozzi da Vignola|Guglielmo della Porta|Giovanni Mynardo (Jean Ménard),1507      |1500      |1525      ,1573      |1577      |1582      ,"Marble of different colors, semiprecious stones, Egyptian alabaster, residue of paint of different colors on the piers","European Sculpture and Decorative Arts Italian, Rome Jacopo [Giacomo] Barozzi da Vignola|Guglielmo della Porta|Giovanni Mynardo (Jean Ménard) 1507      |1500      |1525       1573      |1577      |1582       Marble of different colors, semiprecious stones, Egyptian alabaster, residue of paint of different colors on the piers"
112502,524,Armchair (Fauteuil à la reine) (one of a pair) (part of a set),European Sculpture and Decorative Arts,"French, Paris",Joseph-François-Xavier Baudoin|Georges Jacob,1739      |1739      ,1786      |1814      ,Carved and gilded walnut; embroidered silk satin,"European Sculpture and Decorative Arts French, Paris Joseph-François-Xavier Baudoin|Georges Jacob 1739      |1739       1786      |1814       Carved and gilded walnut; embroidered silk satin"
112553,529,Potpourri vase (pot-pourri gondole),European Sculpture and Decorative Arts,"French, Sèvres",Jean-Claude Duplessis|Sèvres Manufactory|Charles Nicolas Dodin,1695      |1740      |1734      ,1774      |9999      |1803      ,"Soft-paste porcelain decorated in polychrome enamels, gold","European Sculpture and Decorative Arts French, Sèvres Jean-Claude Duplessis|Sèvres Manufactory|Charles Nicolas Dodin 1695      |1740      |1734       1774      |9999      |1803       Soft-paste porcelain decorated in polychrome enamels, gold"
112981,535,Saint John the Baptist,European Sculpture and Decorative Arts,"Spanish, Seville",Juan Martínez Montañés,1568      ,1649      ,Polychromed wood with gilding,"European Sculpture and Decorative Arts Spanish, Seville Juan Martínez Montañés 1568       1649       Polychromed wood with gilding"
113249,512,Medal cabinet,European Sculpture and Decorative Arts,British,John Cobb|William Vile,1715      |1715      ,1778      |1767      ,Mahogany with carved and applied decoration,European Sculpture and Decorative Arts British John Cobb|William Vile 1715      |1715       1778      |1767       Mahogany with carved and applied decoration
114573,553,Plate,European Sculpture and Decorative Arts,"Russian, St. Petersburg","Imperial Porcelain Manufactory, St. Petersburg",1744      ,9999      ,Hard-paste porcelain,"European Sculpture and Decorative Arts Russian, St. Petersburg Imperial Porcelain Manufactory, St. Petersburg 1744       9999       Hard-paste porcelain"
114764,548,Perseus with the Head of Medusa,European Sculpture and Decorative Arts,"Italian, Rome",Antonio Canova|Count Jan and Countess Valeria Tarnowski,1757      |          ,1822      |          ,Marble,"European Sculpture and Decorative Arts Italian, Rome Antonio Canova|Count Jan and Countess Valeria Tarnowski 1757      |           1822      |           Marble"
114810,548,La Crainte des Traits de l'Amour,European Sculpture and Decorative Arts,"French, Paris",Jean-Louis Lemoyne,1665      ,1755      ,Marble,"European Sculpture and Decorative Arts French, Paris Jean-Louis Lemoyne 1665       1755       Marble"
114818,548,Ugolino and His Sons,European Sculpture and Decorative Arts,"French, Paris",Jean-Baptiste Carpeaux,1827      ,1875      ,Saint-Béat marble,"European Sculpture and Decorative Arts French, Paris Jean-Baptiste Carpeaux 1827       1875       Saint-Béat marble"
114896,512,"Teakettle, lamp, and table",European Sculpture and Decorative Arts,"British, London",Simon Pantin I,1672      ,1728      ,"Silver, wood","European Sculpture and Decorative Arts British, London Simon Pantin I 1672       1728       Silver, wood"
115219,529,Bottle cooler from the Louis XV service (seau à bouteille),European Sculpture and Decorative Arts,"French, Vincennes",Vincennes Manufactory|Jean-Claude Duplessis,1740      |1695      ,1756      |1774      ,"Soft-paste porcelain decorated in polychrome enamels, gold","European Sculpture and Decorative Arts French, Vincennes Vincennes Manufactory|Jean-Claude Duplessis 1740      |1695       1756      |1774       Soft-paste porcelain decorated in polychrome enamels, gold"
115313,503,Wall fountain,European Sculpture and Decorative Arts,"Italian, Florence",Simone Mosca,1492      ,1553      ,Grey sandstone (pietra serena),"European Sculpture and Decorative Arts Italian, Florence Simone Mosca 1492       1553       Grey sandstone (pietra serena)"
115464,525,Writing table (bureau plat),European Sculpture and Decorative Arts,"French, Paris",Gilles Joubert,1689      ,1775      ,"Lacquered oak, gilt-bronze mounts, lined with modern leather","European Sculpture and Decorative Arts French, Paris Gilles Joubert 1689       1775       Lacquered oak, gilt-bronze mounts, lined with modern leather"
115892,533,Harlequina,European Sculpture and Decorative Arts,"German, Nymphenburg",Franz Anton Bustelli|Nymphenburg Porcelain Manufactory,1720      |1747      ,1763      |9999      ,Hard-paste porcelain,"European Sculpture and Decorative Arts German, Nymphenburg Franz Anton Bustelli|Nymphenburg Porcelain Manufactory 1720      |1747       1763      |9999       Hard-paste porcelain"
116175,534,Bacchanal: A Faun Teased by Children,European Sculpture and Decorative Arts,"Italian, Rome",Gian Lorenzo Bernini|Pietro Bernini,1598      |1562      ,1680      |1629      ,Marble,"European Sculpture and Decorative Arts Italian, Rome Gian Lorenzo Bernini|Pietro Bernini 1598      |1562       1680      |1629       Marble"
116270,529,Drop-front desk (secrétaire à abattant or secrétaire en cabinet),European Sculpture and Decorative Arts,"French, Paris and Sèvres",Martin Carlin|Edme François Bouillat père|Sèvres Manufactory,1725      |1739      |1740      ,1785      |1810      |9999      ,"Oak veneered with tulipwood, amaranth, holly, and sycamore; six Sèvres soft-paste porcelain plaques and two painted tin plaques; gilt-bronze mounts; marble shelves; moiré silk","European Sculpture and Decorative Arts French, Paris and Sèvres Martin Carlin|Edme François Bouillat père|Sèvres Manufactory 1725      |1739      |1740       1785      |1810      |9999       Oak veneered with tulipwood, amaranth, holly, and sycamore; six Sèvres soft-paste porcelain plaques and two painted tin plaques; gilt-bronze mounts; marble shelves; moiré silk"
116346,533,Rosewater ewer,European Sculpture and Decorative Arts,"German, Augsburg",Johann Erhard Heiglen,1687      ,1757      ,Silver gilt,"European Sculpture and Decorative Arts German, Augsburg Johann Erhard Heiglen 1687       1757       Silver gilt"
